mol_id,smiles,pIC50
CHEMBL575698,COc1ccccc1N2CCN(C(=O)Nc3ccc(Oc4ccnc5cc(OC)c(OC)cc45)c(F)c3)C2=O,6.82
CHEMBL575698,COc1ccccc1N2CCN(C(=O)Nc3ccc(Oc4ccnc5cc(OC)c(OC)cc45)c(F)c3)C2=O,7.3
CHEMBL566083,Cl.Nc1ncc(nc1Oc2ccc3cc[nH]c3c2)c4ccc(cc4)C(=O)NC5CCNCC5,5.26
CHEMBL573761,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccccc5)cc3F)c2cc1OC,7.05
CHEMBL551458,CN1CCN(CC1)c2ccc(cn2)c3cnc4ccn(c4c3)S(=O)(=O)c5cccc6nonc56,7.82
CHEMBL561864,[O-][N+](=O)c1ccccc1S(=O)(=O)n2ccc3ncc(cc23)N4CCNCC4,7.7
CHEMBL370808,COc1ccc(cc1c2[nH]nc3nc(Nc4ccc(F)cc4F)ncc23)C#CC(C)(C)N,5.82
CHEMBL566003,Cn1cnc(c1)C(=O)c2cc3nccc(Oc4ccc(NC(=O)CC(=O)Nc5ccccc5)cc4F)c3s2,7.6
CHEMBL565807,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)C5(CC5)C(=O)Nc6ccccc6)cc4F)c3s2,7.62
CHEMBL462232,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)N5CCN(C5=O)c6ccccc6)cc4F)c3s2,7.7
CHEMBL591924,COc1ccccc1NC(=O)CC(Nc2ccc(Oc3ccnc4cc(sc34)c5cn(C)cn5)c(F)c2)C(F)(F)F,5.7
CHEMBL602704,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccc(F)cc5)C(F)(F)F)cc4F)c3s2,6.4
CHEMBL602704,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccc(F)cc5)C(F)(F)F)cc4F)c3s2,7.05
CHEMBL602703,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(CC(=O)Nc5ccccc5)C(F)(F)F)cc4F)c3s2,6.22
CHEMBL1172957,NS(=O)(=O)c1ccc(Nc2nc(nc3[nH]cnc23)N4CCOCC4)cc1,5.0
CHEMBL2170959,COc1ccc(Cc2nnc3ncc(nn23)c4ccc(F)cc4)cc1,6.95
CHEMBL3685753,CC1=NC2=C(C(C1[N+]#[C-])c3ccc4n[nH]c(C)c4c3)C(=O)OCC2(C)C,7.55
CHEMBL2170947,C(Cn1cc(cn1)c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)N6CCCC6,7.8
CHEMBL3685755,Cc1[nH]nc2ccc(cc12)C3C4C(=O)OCC4=NC(=C3[N+]#[C-])C(F)(F)F,8.15
CHEMBL3660144,Clc1ncc2nnn(Cc3ccc4ncccc4c3)c2n1,6.78
CHEMBL2170954,CCNc1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,8.3
CHEMBL2170952,Cc1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,7.09
CHEMBL2170812,Fc1ccc(Cn2nnc3ncc(nc23)c4ccc(F)cc4)cc1,5.0
CHEMBL3956952,C\C(=N/N1C=C(O)NC1=O)\c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2,8.15
CHEMBL3651387,CCO\N=C(/C)\c1ccc2nnc(Cc3ccc4ncccc4c3)n2n1,8.15
CHEMBL3651389,C\C(=N/OCCO)\c1ccc2nnc(Cc3ccc4ncccc4c3)n2n1,7.89
CHEMBL566253,COc1ccc2c(O[C@H](C)c3nnc4ccc(nn34)c5ccccc5)ccnc2c1,6.63
CHEMBL565807,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=O)C5(CC5)C(=O)Nc6ccccc6)cc4F)c3s2,8.4
CHEMBL551458,CN1CCN(CC1)c2ccc(cn2)c3cnc4ccn(c4c3)S(=O)(=O)c5cccc6nonc56,6.09
CHEMBL495899,Oc1ccc(Cc2nnc3ncc(cn23)c4ccccc4)cc1,6.21
CHEMBL558306,Nc1cnc2ccn(c2c1)S(=O)(=O)c3c(Cl)nc4sccn34,6.24
CHEMBL573974,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccccc5)cc3)c2cc1OC,6.62
CHEMBL575712,COc1cc2nccc(Oc3ccc(NC(=O)N4CCN(N5CCCCC5)C4=O)cc3F)c2cc1OC,6.19
CHEMBL403747,Fc1cc(NC(=S)NC(=O)Cc2ccccc2)ccc1Oc3ccnc4cc(sc34)c5cocc5,7.13
CHEMBL258453,CCn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2,7.28
CHEMBL256767,Fc1cc(NC(=S)NC(=O)Cc2ccccc2)ccc1Oc3ccnc4cc(sc34)c5ncccn5,6.7
CHEMBL561058,Oc1cnc2ccn(c2c1)S(=O)(=O)c3c(Cl)nc4sccn34,5.44
CHEMBL563080,Cc1cc(Cl)c2c(n1)N(CCc3ccccc3)CCc4c2[nH]c5ccccc45,4.91
CHEMBL564440,CC(C)(C)OC(=O)N1CCC(CC1)n2cc(cn2)c3cnc4ccn(c4c3)S(=O)(=O)c5c(Cl)nc6sccn56,6.83
CHEMBL2385185,COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccc(Cl)cc5Cl)c6ccccc6C4=O)cc3F)ccnc2cc1OCCCN7CCCCC7,8.07
CHEMBL2385178,COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccc(C)cc5)c6ccccc6C4=O)cc3F)ccnc2cc1OCCCN7CCOCC7,8.12
CHEMBL2419646,COc1cc2c(Oc3ccc(NC(=O)N\N=C\C(C)C)cc3F)ccnc2cc1OCCCN4CCCCC4,6.03
CHEMBL3334555,OCCn1cc(cn1)c2cnc3nnn(Cc4cc5cccnc5[nH]4)c3n2,6.64
CHEMBL3334560,Cn1cc(cn1)c2cnc3nnn(Cc4cc5cnccc5s4)c3n2,7.96
CHEMBL3334550,OCCn1cc(cn1)c2cnc3nnn(Cc4ccc5nccn5c4)c3n2,7.48
CHEMBL3334570,C[C@H](c1ccn2nccc2c1)n3nnc4ncc(nc34)c5cnn(CCO)c5,7.57
CHEMBL3334562,N#Cc1ccc(cn1)c2cnc3nnn(Cc4n[nH]c5ncccc45)c3n2,7.51
CHEMBL3339359,COc1cc2c(Oc3ccc(CC(=O)N\N=C\c4ccc(OC(F)(F)F)cc4)cc3F)ccnc2cc1OCCCN5CCCC5,8.4
CHEMBL2385173,COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccc(F)cc5Br)c6ccccc6C4=O)cc3F)ccnc2cc1OCCCN7CCCC7,7.87
CHEMBL2385200,COc1cc2c(Oc3ccc(NC(=O)C4=NN(c5ccccc5C4=O)c6cc(C)ccc6C)cc3F)ccnc2cc1OCCCN7CCCC7,7.98
CHEMBL2402849,O[C@@H]1CC[C@H](CC1)n2cc(cn2)c3ccc4cn(Cc5ccc6ncccc6c5)nc4c3,6.24
CHEMBL2402847,OCCn1cc(cn1)c2ccc3cn(Cc4ccc5ncccc5c4)nc3c2,6.08
CHEMBL2402844,O[C@@H]1CC[C@H](CC1)n2cc(cn2)c3ccc4cnn(Cc5ccc6ncccc6c5)c4c3,6.19
CHEMBL574125,COc1cc2c(Oc3ccc(NC(=O)N4CCN(C4=O)c5ccccc5)cc3F)ccnc2cc1OCCCN6CCOCC6,7.3
CHEMBL2419647,COc1cc2c(Oc3ccc(NC(=S)N\N=C\c4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN5CCCCC5,8.28
CHEMBL3402762,CN1CCC(COc2cnc(nc2)c3cccc(CN4N=C(C=CC4=O)c5cccc(c5)C#N)c3)CC1,7.92
CHEMBL3402754,Cc1cnc(nc1)c2cccc(CN3N=C(C=CC3=O)c4cc(F)cc(F)c4)c2,7.4
CHEMBL3104855,Cc1c(O)c(O)c2oc(cc2c1C=O)c3c(C)c(O)c(O)c(O)c3C=O,5.95
CHEMBL2312301,COc1ccccc1CNc2ncc(C(=O)NCCCN3CCCC3=O)c(NC4CCCC4)n2,5.35
CHEMBL254760,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2,7.3
CHEMBL448276,Fc1cc(NC(=O)N2CCN(C2=O)c3ccccc3)ccc1Oc4ccnc5cc(sc45)c6ccc(CN7CCNCC7)cc6,7.66
CHEMBL518676,Cn1cnc(c1)c2cc3nccc(Oc4ccc(NC(=S)N5CCN(C5=O)c6ccccc6)cc4F)c3s2,7.62
CHEMBL510973,Clc1cc(Cl)cc(c1)c2c([nH]c3ccc(nc23)C#N)c4ccncc4,5.59
CHEMBL492912,Clc1ccc(cc1)c2c([nH]c3ccc(nc23)C#N)c4ccncc4,5.0
CHEMBL503524,Fc1cc(NC(=O)N2CCN(C2=O)c3ccccc3)ccc1Oc4ccnc5cc(sc45)c6cn(CCN7CCCC7)cn6,6.5
CHEMBL3116241,COc1cc(N2C(=O)NC(=O)\C(=C/Nc3ccc(Oc4ccnc5cc(OCCCN6CCCCC6)c(OC)cc45)c(F)c3)\C2=O)c(OC)cc1Cl,7.55
CHEMBL2401819,C[C@@H](Oc1c(N)ncc2c(coc12)c3cnn(c3)C4CCN(CC4)C(=O)C)c5c(Cl)ccc(F)c5Cl,6.02
CHEMBL3116233,COc1cc2c(Oc3ccc(N\C=C\4/C(=O)NC(=O)N(C4=O)c5ccc(F)cc5F)cc3F)ccnc2cc1OCCCN6CCN(C)CC6,8.08
CHEMBL3116232,COc1cc2c(Oc3ccc(N\C=C\4/C(=O)NC(=O)N(C4=O)c5ccc(F)cc5)cc3F)ccnc2cc1OCCCN6CCN(C)CC6,8.5
CHEMBL3116443,COc1cc2c(Oc3ccc(N\C=C\4/C(=O)NC(=O)N(C4=O)c5ccc(F)cc5F)cc3F)ccnc2cc1OCCCN6CCCC6,7.91
CHEMBL2401809,COc1ccc(Cl)c([C@@H](C)Oc2c(N)ncc3c(coc23)c4cnn(c4)C5CCNCC5)c1Cl,6.48
CHEMBL2401740,CCC(Oc1c(N)ncc2c(coc12)c3cnn(c3)C4CCNCC4)c5c(Cl)ccc(F)c5Cl,7.04
CHEMBL2401835,CC(Oc1c(N)ncc2c(coc12)c3cnn(c3)C4CCNCC4)c5c(Cl)cccc5Cl,6.66
CHEMBL2401818,Nc1ncc2c(coc2c1OC(CC#C)c3c(Cl)ccc(F)c3Cl)c4cnn(c4)C5CCNCC5,6.25
