mol_id,smiles,pIC50
CHEMBL162821,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,7.64
CHEMBL155607,NC(=O)CCC1C(=Nc2ccccc12)S,4.66
CHEMBL326100,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSCc2ccccc2Cl)c1O,5.0
CHEMBL80030,CN(C)CC(=C)C(=O)c1ccc(OS(=O)(=O)c2ccc(cc2)C(=O)O)cc1,6.64
CHEMBL540292,Cl.CN(C)CC(CSc1ccccc1)C(=O)c2ccc(OCc3ccccc3)cc2,5.14
CHEMBL156797,O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)Nc4ccccc4)[nH]c5ccccc15)Nc6ccccc6,4.6
CHEMBL473320,COc1cc2ncnc(c3c[nH]c4ccc(Br)cc34)c2cc1OC,6.88
CHEMBL338114,Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.04
CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.6
CHEMBL258940,CN1CCC(CC1)Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2,8.52
CHEMBL503418,CN1CCN(Cc2ccc(Nc3nc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4s3)cc2)CC1,8.05
CHEMBL511449,NS(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4ccc(cc4)N5CCOCC5)c3s2)cc1,4.75
CHEMBL248322,NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cccc[n+]5[O-])c(Cl)c4)c23)CC1,7.16
CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.6
CHEMBL340611,CC[N+](C)(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,7.37
CHEMBL1907944,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]4CCCN(C)C4,7.0
CHEMBL337027,CO[C@H]1[C@H](C[C@@H]2O[C@@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)CCC(=O)O,6.8
CHEMBL119156,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2ccccn2)c1O,5.47
CHEMBL119156,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2ccccn2)c1O,4.8
CHEMBL162622,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.19
CHEMBL162622,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.15
CHEMBL361322,C(c1ccccc1)c2nc3cc(Nc4ncnc5nn6ccccc6c45)ccc3[nH]2,5.3
CHEMBL170111,CC(C)(C)OC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,5.1
CHEMBL293261,O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc4ccccc4)[nH]c5ccccc15)NCc6ccccc6,6.07
CHEMBL172514,COCCNCCN1CCC(CC1)n2cc(c3cccc(OC)c3)c4c(N)ncnc24,6.51
CHEMBL113185,COc1cc(Nc2nccc(n2)c3ccc(NCCN)nc3)cc(OC)c1OC,5.29
CHEMBL86531,NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCC(=O)O)\c2c1,4.54
CHEMBL304414,Cn1c(SSc2c(C(=O)Nc3ccccc3)c4ccccc4n2C)c(C(=O)Nc5ccccc5)c6ccccc16,5.0
CHEMBL209818,CN(C(=O)N(CCCl)N=O)c1ccc2ncnc(Nc3cccc(C)c3)c2c1,5.94
CHEMBL210444,ClCCNC(=O)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.66
CHEMBL50344,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.3
CHEMBL355322,COc1cccc(c1)c2cn(C3CCN(CC(=O)N)C3)c4ncnc(N)c24,6.36
CHEMBL1812491,Cn1cccc1c2nc3cc(NC(=O)CCl)ccc3[nH]2,4.92
CHEMBL1812566,COc1cccc(\C=C\C(=O)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)c1,5.18
CHEMBL542733,Cl.COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,6.6
CHEMBL24828,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4,6.1
CHEMBL247915,NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccnc6)c4)c23)CC1,6.72
CHEMBL246898,CS(=O)(=O)CCNC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccc(F)c6)c4)c23)CC1,6.7
CHEMBL392664,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CNC6CCNCC6)c45)ccc23)c1,6.96
CHEMBL250132,C[C@H](CN(C)C(=O)CO)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,8.7
CHEMBL472544,Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1C(=O)NNC(=O)CCN4CCOCC4,6.21
CHEMBL251700,Fc1ccc(Nc2ncnc3ccc(cc23)C#CCN4CCCCC4)cc1Cl,7.05
CHEMBL541586,Cl.COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC,7.23
CHEMBL210893,CN(C(=O)N(CCCl)N=O)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.53
CHEMBL1812559,[O-][N+](=O)c1ccc(\C=C\C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.29
CHEMBL1087054,CC1=C(C(NC(=N1)SCc2ccccc2)c3ccc(O)cc3O)C(=O)Nc4ccc(C)cc4,4.03
CHEMBL597752,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCC(=O)NO,8.11
CHEMBL592141,COc1cccc(\C=N\NC2=NC(=O)CS2)c1,4.5
CHEMBL449949,Fc1cccc(COc2ccc(Nc3ncnc4cc(C#C[C@@H]5C[C@H](CN5)OC(=O)N6CCOCC6)sc34)cn2)c1,5.58
CHEMBL491686,Cc1cc(Nc2ccnc(Nc3cccc(c3)c4nc5ccccc5s4)n2)n[nH]1,5.72
CHEMBL453398,Clc1cc(Nc2ncnc3cc(C#C[C@@H]4C[C@H](CN4)OC(=O)N5CCOCC5)sc23)ccc1Oc6ccccn6,6.72
CHEMBL593770,COc1cc2c(ncnc2cc1OCCCN3CCN(C)CC3)N(C)c4ccc(c(OC)c4)c5nc6ccccc6s5,5.85
CHEMBL596059,COc1cc(ccc1Nc2ncnc3cc(OC)c(OC)cc23)c4nc5ccccc5s4,7.2
CHEMBL1081198,FC(F)(F)c1cccc(NC(=O)Nc2cccc(c2)c3cn4ccnc4c(NCc5ccncc5)n3)c1,4.3
CHEMBL589826,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCC=C,7.49
CHEMBL1093099,Nc1nc(N)c2c(n1)[nH]c3cccc(Sc4ccccc4)c23,4.82
CHEMBL1093100,Cc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1,4.98
CHEMBL1172419,CC(=O)N1N=C(CC1c2ccccc2)c3ccc(Cl)c(Cl)c3,4.54
CHEMBL1173014,COc1cccc(\C=C\C(=O)OCCn2c(C)ncc2[N+](=O)[O-])c1,4.86
CHEMBL1171822,CC(=O)N1N=C(CC1c2ccc(C)cc2)c3ccc(Cl)c(Cl)c3,4.71
